    1	      0.78898290    0.01488605
    2	      0.79942762    0.01487251
    3	      0.80987236    0.01485902
    4	      0.82031711    0.01484558
    5	      0.83076185    0.01483219
    6	      0.84120659    0.01481884
    7	      0.85165130    0.01480554
    8	      0.86209597    0.01479229
    9	      0.87254059    0.01477909
   10	      0.88298515    0.01476594
   11	      0.89342964    0.01475283
   12	      0.90387404    0.01473977
   13	      0.91431835    0.01472677
   14	      0.92476255    0.01471381
   15	      0.93520663    0.01470090
   16	      0.94565058    0.01468804
   17	      0.95609439    0.01467522
   18	      0.96653805    0.01466246
   19	      0.97698155    0.01464975
   20	      0.98742487    0.01463709
   21	      0.99786801    0.01462447
   22	      1.00831095    0.01461191
   23	      1.01875369    0.01459940
   24	      1.02919621    0.01458694
   25	      1.03963850    0.01457453
   26	      1.05008056    0.01456217
   27	      1.06052237    0.01454986
   28	      1.07096391    0.01453760
   29	      1.08140519    0.01452539
   30	      1.09184619    0.01451324
   31	      1.10228690    0.01450113
   32	      1.11272731    0.01448908
   33	      1.12316741    0.01447708
   34	      1.13360719    0.01446513
   35	      1.14404664    0.01445323
   36	      1.15448576    0.01444138
   37	      1.16492452    0.01442959
   38	      1.17536292    0.01441784
   39	      1.18580096    0.01440616
   40	      1.19623862    0.01439452
   41	      1.20667589    0.01438293
   42	      1.21711276    0.01437140
   43	      1.22754923    0.01435992
   44	      1.23798528    0.01434850
   45	      1.24842091    0.01433712
   46	      1.25885610    0.01432580
   47	      1.26929085    0.01431454
   48	      1.27972515    0.01430332
   49	      1.29015898    0.01429216
   50	      1.30059235    0.01428106
   51	      1.31102523    0.01427000
   52	      1.32145763    0.01425900
   53	      1.33188953    0.01424806
   54	      1.34232093    0.01423717
   55	      1.35275181    0.01422633
   56	      1.36318216    0.01421554
   57	      1.37361199    0.01420482
   58	      1.38404127    0.01419414
   59	      1.39447001    0.01418352
   60	      1.40489819    0.01417295
   61	      1.41532580    0.01416244
   62	      1.42575284    0.01415198
   63	      1.43617929    0.01414158
   64	      1.44660516    0.01413123
   65	      1.45703042    0.01412093
   66	      1.46745508    0.01411070
   67	      1.47787913    0.01410051
   68	      1.48830255    0.01409038
   69	      1.49872534    0.01408031
   70	      1.50914749    0.01407029
   71	      1.51956899    0.01406033
   72	      1.52998984    0.01405042
   73	      1.54041003    0.01404056
   74	      1.55082955    0.01403076
   75	      1.56124838    0.01402102
   76	      1.57166653    0.01401133
   77	      1.58208399    0.01400170
   78	      1.59250075    0.01399213
   79	      1.60291680    0.01398260
   80	      1.61333213    0.01397314
   81	      1.62374673    0.01396373
   82	      1.63416061    0.01395438
   83	      1.64457374    0.01394508
   84	      1.65498613    0.01393584
   85	      1.66539777    0.01392665
   86	      1.67580865    0.01391752
   87	      1.68621875    0.01390845
   88	      1.69662809    0.01389943
   89	      1.70703664    0.01389047
   90	      1.71744440    0.01388156
   91	      1.72785136    0.01387271
   92	      1.73825752    0.01386392
   93	      1.74866287    0.01385518
   94	      1.75906740    0.01384650
   95	      1.76947111    0.01383788
   96	      1.77987398    0.01382931
   97	      1.79027602    0.01382080
   98	      1.80067721    0.01381234
   99	      1.81107755    0.01380395
  100	      1.82147703    0.01379560
  101	      1.83187564    0.01378732
  102	      1.84227338    0.01377909
  103	      1.85267024    0.01377092
  104	      1.86306621    0.01376280
  105	      1.87346129    0.01375474
  106	      1.88385547    0.01374674
  107	      1.89424875    0.01373879
  108	      1.90464111    0.01373090
  109	      1.91503256    0.01372307
  110	      1.92542307    0.01371529
  111	      1.93581266    0.01370758
  112	      1.94620131    0.01369991
  113	      1.95658901    0.01369231
  114	      1.96697576    0.01368476
  115	      1.97736156    0.01367727
  116	      1.98774638    0.01366983
  117	      1.99813024    0.01366245
  118	      2.00851313    0.01365513
  119	      2.01889503    0.01364787
  120	      2.02927594    0.01364066
  121	      2.03965585    0.01363351
  122	      2.05003476    0.01362642
  123	      2.06041267    0.01361938
  124	      2.07078956    0.01361240
  125	      2.08116543    0.01360548
  126	      2.09154027    0.01359861
  127	      2.10191408    0.01359180
  128	      2.11228686    0.01358505
  129	      2.12265859    0.01357835
  130	      2.13302926    0.01357171
  131	      2.14339888    0.01356513
  132	      2.15376744    0.01355861
  133	      2.16413493    0.01355214
  134	      2.17450135    0.01354573
  135	      2.18486668    0.01353937
  136	      2.19523093    0.01353308
  137	      2.20559409    0.01352684
  138	      2.21595615    0.01352065
  139	      2.22631710    0.01351453
  140	      2.23667694    0.01350846
  141	      2.24703567    0.01350244
  142	      2.25739328    0.01349649
  143	      2.26774976    0.01349059
  144	      2.27810511    0.01348475
  145	      2.28845932    0.01347896
  146	      2.29881238    0.01347323
  147	      2.30916430    0.01346756
  148	      2.31951505    0.01346195
  149	      2.32986465    0.01345639
  150	      2.34021308    0.01345089
  151	      2.35056034    0.01344544
  152	      2.36090641    0.01344006
  153	      2.37125131    0.01343472
  154	      2.38159501    0.01342945
  155	      2.39193752    0.01342423
  156	      2.40227882    0.01341907
  157	      2.41261892    0.01341397
  158	      2.42295781    0.01340892
  159	      2.43329547    0.01340393
  160	      2.44363192    0.01339899
  161	      2.45396714    0.01339411
  162	      2.46430112    0.01338929
  163	      2.47463386    0.01338453
  164	      2.48496535    0.01337982
  165	      2.49529560    0.01337516
  166	      2.50562459    0.01337057
  167	      2.51595231    0.01336603
  168	      2.52627877    0.01336155
  169	      2.53660395    0.01335712
  170	      2.54692786    0.01335275
  171	      2.55725048    0.01334843
  172	      2.56757181    0.01334418
  173	      2.57789185    0.01333997
  174	      2.58821059    0.01333583
  175	      2.59852802    0.01333174
  176	      2.60884414    0.01332771
  177	      2.61915895    0.01332373
  178	      2.62947243    0.01331981
  179	      2.63978458    0.01331594
  180	      2.65009541    0.01331213
  181	      2.66040489    0.01330838
  182	      2.67071303    0.01330468
  183	      2.68101982    0.01330104
  184	      2.69132526    0.01329745
  185	      2.70162934    0.01329392
  186	      2.71193205    0.01329045
  187	      2.72223339    0.01328703
  188	      2.73253336    0.01328367
  189	      2.74283194    0.01328036
  190	      2.75312914    0.01327711
  191	      2.76342495    0.01327391
  192	      2.77371936    0.01327077
